"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
454852,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',NULL,60.8200,NULL,1.1200,2.1900
454853,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',0.0000,NULL,67.1400,NULL,3.9100
454854,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,61.8600,NULL,1.1700,NULL
454855,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,61.8600,65.1900,NULL,2.7800
454856,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,61.9400,NULL,NULL,2.6400
454857,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,40.9500,57.8800,1.1600,2.8500
454858,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,28.5700,73.8400,NULL,0.9700
454859,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,57.9200,61.3300,1.1400,2.2500
454860,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 04:45:00.000000',0.0000,52.9500,67.4000,NULL,3.9200
454861,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,58.2800,64.9700,1.0500,2.8300
454862,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,58.2800,64.9700,1.0500,2.8300
454863,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,60.4600,56.6400,0.9500,2.6900
454864,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,34.0500,58.1600,NULL,NULL
454865,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,12.1400,74.7300,NULL,0.9800
454866,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,55.1100,61.2500,1.1600,NULL
454867,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,51.4200,67.6600,2.1400,3.9200
454868,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',NULL,61.6200,64.9700,NULL,NULL
454869,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',0.0000,NULL,64.9700,1.1600,NULL
454870,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',0.0000,60.2900,56.5700,1.0900,2.7500
454871,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',0.0000,42.7600,NULL,1.1500,2.8600
454872,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',0.0000,34.0000,68.5900,NULL,0.9700
454873,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',0.0000,55.3300,60.3400,1.1200,NULL
454874,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 05:15:00.000000',0.0000,52.5800,NULL,NULL,3.9600
454875,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',0.0000,64.3800,64.9800,NULL,2.9400
454876,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',0.0000,64.3800,64.9800,1.2700,2.9400
454877,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',0.0000,NULL,NULL,1.2400,NULL
454878,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',NULL,52.8100,NULL,1.0900,NULL
454879,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',NULL,59.9600,62.4400,0.6500,0.9800
454880,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',NULL,NULL,59.4400,1.0800,2.3400
454881,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 05:30:00.000000',NULL,NULL,66.3100,NULL,3.9900
454882,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',NULL,66.6800,64.9800,1.3900,3.0000
454883,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',0.0000,66.6800,64.9800,1.3900,3.0000
454884,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',NULL,60.0400,NULL,1.3900,2.8700
454885,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',NULL,NULL,NULL,1.0600,2.8300
454886,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',NULL,81.4600,NULL,0.7800,0.9900
454887,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',0.0000,55.8200,58.5600,NULL,NULL
454888,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 05:45:00.000000',0.0000,55.7900,65.6600,1.5600,4.0200
454889,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,NULL,64.9900,1.5000,3.0500
454890,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,68.6300,64.9900,1.5000,NULL
454891,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,NULL,56.3800,NULL,2.9300
454892,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,NULL,51.9600,1.0700,NULL
454893,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',NULL,NULL,50.6800,0.9800,1.0200
454894,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,56.1000,57.6800,0.9900,2.3700
454895,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 06:00:00.000000',0.0000,58.0700,65.0100,NULL,4.0600
454896,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',0.0000,NULL,64.9900,1.5200,3.1100
454897,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',NULL,NULL,64.9900,1.5200,3.1100
454898,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',0.0000,NULL,56.3200,1.5500,2.9900
454899,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',NULL,74.6400,50.3800,0.9900,NULL
454900,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',0.0000,98.7600,45.2800,0.9100,1.0600
454901,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',0.0000,59.9000,NULL,NULL,NULL
454902,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 06:15:00.000000',0.0000,57.6800,64.3800,NULL,4.1000
454903,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.5600,67.8000,64.9900,NULL,NULL
454904,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.5600,67.8000,64.9900,1.5500,NULL
454905,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.6900,61.0000,56.2600,NULL,3.0500
454906,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.1900,74.2600,48.8000,0.9100,2.8000
454907,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.0600,NULL,40.2800,NULL,1.1000
454908,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.8900,NULL,55.9600,1.0300,2.4000
454909,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 06:30:00.000000',1.4300,NULL,63.7500,1.3100,4.1300
454910,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',5.7500,67.4000,65.0000,1.5700,3.2200
454911,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',5.7500,NULL,65.0000,1.5700,3.2200
454912,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',5.8900,61.5100,56.2100,1.5800,3.1100
454913,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',NULL,73.8200,47.2000,0.8400,2.8000
454914,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',NULL,106.5100,35.7100,0.7800,NULL
454915,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',6.1000,67.0800,55.1100,1.0500,NULL
454916,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 06:45:00.000000',5.6200,56.8500,63.1400,1.2800,4.1700
454917,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',19.5500,67.0100,65.0000,1.5900,3.2700
454918,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',NULL,67.0100,65.0000,1.5900,3.2700
454919,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',NULL,NULL,56.1600,1.6000,3.1700
454920,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',18.6500,73.2900,45.6000,NULL,2.8000
454921,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',16.8200,NULL,31.5600,0.7200,NULL
454922,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',21.7800,NULL,54.2800,1.0800,2.4300
454923,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 07:00:00.000000',13.2600,56.4100,62.5400,1.2600,4.2100
