"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
508483,'330803','衢江区','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',NULL,60.0400,48.5900,NULL,NULL
508484,'330822','常山县','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',0.0000,63.7800,34.9300,1.0600,3.3700
508485,'330824','开化县','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',0.0000,NULL,39.7600,NULL,0.8000
508486,'330825','龙游县','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',NULL,55.8200,NULL,NULL,2.7300
508487,'330881','江山市','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',0.0000,55.7900,56.5400,1.5600,4.5900
508488,'330800','衢州市','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',NULL,68.6300,54.0200,1.5000,3.1000
508489,'330802','柯城区','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',NULL,68.6300,54.0200,NULL,NULL
508490,'330803','衢江区','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',NULL,59.9600,NULL,1.5300,3.3100
508491,'330822','常山县','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',NULL,74.9600,NULL,1.0700,3.5000
508492,'330824','开化县','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',0.0000,95.6900,37.6600,0.9800,NULL
508493,'330825','龙游县','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',NULL,56.1000,50.5900,NULL,NULL
508494,'330881','江山市','2023-11-09 05:45:00.000000','2023-11-09 06:00:00.000000',NULL,58.0700,NULL,1.3700,NULL
508495,'330800','衢州市','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',0.0000,68.2100,50.9000,1.5200,3.1700
508496,'330802','柯城区','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',0.0000,68.2100,50.9000,1.5200,NULL
508497,'330803','衢江区','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',0.0000,60.4800,42.6000,1.5500,NULL
508498,'330822','常山县','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',NULL,NULL,NULL,NULL,3.6300
508499,'330824','开化县','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',0.0000,98.7600,35.9800,0.9100,1.0000
508500,'330825','龙游县','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',0.0000,59.9000,48.6100,1.0100,2.9300
508501,'330881','江山市','2023-11-09 06:00:00.000000','2023-11-09 06:15:00.000000',0.0000,NULL,53.6900,1.3400,NULL
508502,'330800','衢州市','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',2.7600,67.8000,NULL,1.5500,3.1600
508503,'330802','柯城区','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',NULL,67.8000,64.9900,NULL,3.1600
508504,'330803','衢江区','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',3.1100,61.0000,56.2600,1.5700,NULL
508505,'330822','常山县','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',2.1200,74.2600,NULL,NULL,2.8000
508506,'330824','开化县','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',1.9000,102.3400,NULL,0.8400,1.1000
508507,'330825','龙游县','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',NULL,NULL,NULL,1.0300,2.4000
508508,'330881','江山市','2023-11-09 06:15:00.000000','2023-11-09 06:30:00.000000',1.0500,57.2700,63.7500,1.3100,NULL
508509,'330800','衢州市','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',12.9100,NULL,65.0000,1.5700,NULL
508510,'330802','柯城区','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',12.9100,NULL,65.0000,1.5700,3.2200
508511,'330803','衢江区','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',13.4200,61.5100,56.2100,1.5800,3.1100
508512,'330822','常山县','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',NULL,73.8200,47.2000,0.8400,2.8000
508513,'330824','开化县','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',10.1800,106.5100,35.7100,0.7800,1.1600
508514,'330825','龙游县','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',12.2800,67.0800,NULL,1.0500,NULL
508515,'330881','江山市','2023-11-09 06:30:00.000000','2023-11-09 06:45:00.000000',NULL,NULL,63.1400,1.2800,4.1700
508516,'330800','衢州市','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',33.3000,67.0100,NULL,1.5900,3.2700
508517,'330802','柯城区','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',33.3000,67.0100,65.0000,1.5900,3.2700
508518,'330803','衢江区','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',NULL,NULL,56.1600,1.6000,3.1700
508519,'330822','常山县','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',31.8400,73.2900,45.6000,0.7600,2.8000
508520,'330824','开化县','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',30.4400,111.3900,NULL,0.7200,NULL
508521,'330825','龙游县','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',35.2800,70.4100,54.2800,1.0800,2.4300
508522,'330881','江山市','2023-11-09 06:45:00.000000','2023-11-09 07:00:00.000000',27.6400,NULL,62.5400,NULL,4.2100
508523,'330800','衢州市','2023-11-09 07:00:00.000000','2023-11-09 07:15:00.000000',NULL,NULL,NULL,NULL,NULL
