"ID","station_id","base_power","mwh_per_year","water_turbine_type","reservoir_id","reservoir_name","hydro_type","max_head","min_head"
"27","01113308000054","3.150000","4599.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"28","01113308000055","4.800000","7008.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"29","01113308000056","3.150000","4599.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"30","01113308000057","18.000000","26280.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"31","01113308000058","7.200000","10512.000000","轴流式","NULL","NULL","径流式","NULL","NULL"
"32","01113308000059","3.780000","5518.800000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"33","01113308000060","1.260000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"34","01113308000061","1.200000","62.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"35","01113308000062","0.650000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"36","01113308000063","0.160000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"37","01113308000064","0.400000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"38","01113308000065","1.250000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"39","01113308000066","2.500000","140.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"40","01113308000067","1.600000","80.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"41","01113308000068","0.800000","40.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"42","01113308000069","0.630000","35.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"43","01113308000070","1.260000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"44","01113308000071","1.200000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"45","01113308000072","0.650000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"46","01113308000073","0.160000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"47","01113308000074","0.400000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"48","01113308000075","0.630000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"49","01113308000076","1.260000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"50","01113308000077","1.200000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"51","01113308000078","0.650000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"52","01113308000079","0.160000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"53","01113308000080","0.180000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"54","01113308000081","1.250000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"55","01113308000082","2.500000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"56","01113308000083","1.600000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"57","01113308000084","0.800000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"58","01113308000085","0.630000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"59","01113308000086","1.260000","140.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"60","01113308000087","1.200000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"61","01113308000088","0.650000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"62","01113308000089","0.160000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"63","01113308000090","0.400000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"64","01113308000091","0.630000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"65","01113308000092","1.260000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"66","01113308000093","1.200000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"67","01113308000094","0.650000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"68","01113308000095","0.160000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"69","01113308000096","0.400000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"70","01113308000097","1.250000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"71","01113308000098","2.500000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
